State,HighQ,HighQN,MedQ,MedQN,LowQ,LowQN,date
Rhode Island,331.57999999999998,581,258.86000000000001,406,201.75,34,2014-04-01
South Carolina,345.06,1312,202.44,1044,187.5,137,2014-04-01
South Dakota,388.48000000000002,178,353.75,192,124.17,21,2014-04-01
Tennessee,356.57999999999998,1757,226.72,1423,190.38999999999999,172,2014-04-01
Texas,340.29000000000002,6726,234.44999999999999,6545,142.83000000000001,954,2014-04-01
Utah,291.25999999999999,763,242.66,790,187.19,48,2014-04-01
Vermont,376.97000000000003,301,319.68000000000001,263,190.36000000000001,26,2014-04-01
Virginia,371.61000000000001,2751,287.73000000000002,2252,226.78999999999999,229,2014-04-01
Washington,234.15000000000001,2617,190.94,2653,143.66999999999999,121,2014-04-01
West Virginia,359.56,427,215.08000000000001,419,160.12,45,2014-04-01
Wisconsin,356.18000000000001,1804,270.81999999999999,1592,242.49000000000001,140,2014-04-01
Wyoming,354.72000000000003,103,370.55000000000001,148,161.30000000000001,11,2014-04-01
Alabama,340.63,1255,205.03,1121,143.75999999999999,144,2014-05-01
Alaska,287.94,294,257.39999999999998,353,375.81999999999999,27,2014-05-01
Arizona,301.25999999999999,2216,208.40000000000001,1937,191.43000000000001,260,2014-05-01
Arkansas,352.06999999999999,684,185.34,638,129.02000000000001,128,2014-05-01
California,246.03999999999999,13787,191.88999999999999,15047,191.40000000000001,891,2014-05-01
Colorado,236.66999999999999,2594,196.34999999999999,2179,233.09,155,2014-05-01
Connecticut,344.76999999999998,1470,272.63,1561,249.46000000000001,99,2014-05-01
Delaware,369.19999999999999,404,228.59,323,209.72,38,2014-05-01
District of Columbia,347.06,507,292,425,211.88,46,2014-05-01
Florida,304.38,7727,218.02000000000001,6334,153.21000000000001,593,2014-05-01
Georgia,329.01999999999998,3622,214.86000000000001,2686,153.75,255,2014-05-01
Hawaii,314.52999999999997,377,275.69,415,165.55000000000001,28,2014-05-01
Idaho,276.49000000000001,357,252.99000000000001,524,139.21000000000001,27,2014-05-01
