State|HighQ|HighQN|date
Rhode Island|333.49000000000001|549|2014-02-02
South Carolina|346.08999999999997|1211|2014-02-02
South Dakota|389.89999999999998|170|2014-02-02
Tennessee|358.06|1632|2014-02-02
Texas|342.12|6255|2014-02-02
Utah|293.06|712|2014-02-02
Vermont|377.22000000000003|289|2014-02-02
Virginia|373.62|2588|2014-02-02
Washington|235.41999999999999|2435|2014-02-02
West Virginia|364.27999999999997|379|2014-02-02
Wisconsin|357.72000000000003|1699|2014-02-02
Wyoming|354.02999999999997|94|2014-02-02
Alabama|340.10000000000002|1142|2014-03-02
Alaska|286.77999999999997|281|2014-03-02
Arizona|302.94|2095|2014-03-02
Arkansas|357.73000000000002|630|2014-03-02
California|247.56999999999999|12999|2014-03-02
Colorado|237.88999999999999|2405|2014-03-02
Connecticut|347.04000000000002|1391|2014-03-02
Delaware|371.63999999999999|377|2014-03-02
District of Columbia|350.61000000000001|479|2014-03-02
Florida|305.27999999999997|7152|2014-03-02
Georgia|330.94|3373|2014-03-02
Hawaii|307.95999999999998|353|2014-03-02
Idaho|275.60000000000002|335|2014-03-02
Illinois|358.04000000000002|4360|2014-03-02
Indiana|334.44|1829|2014-03-02
Iowa|370.98000000000002|751|2014-03-02
Kansas|352.25999999999999|899|2014-03-02
Kentucky|337.49000000000001|1104|2014-03-02
Louisiana|373.08999999999997|1170|2014-03-02
Maine|319.45999999999998|482|2014-03-02
Montana|269.87|615|2014-03-02
Nebraska|347.68000000000001|555|2014-03-02
Nevada|268.39999999999998|964|2014-03-02
New Hampshire|370.08999999999997|463|2014-03-02
New Jersey|353.25999999999999|2398|2014-03-02
New Mexico|291.14999999999998|612|2014-03-02
New York|351.29000000000002|6214|2014-03-02
North Carolina|354.43000000000001|3041|2014-03-02
North Dakota|401.47000000000003|156|2014-03-02
Ohio|336.07999999999998|3313|2014-03-02
Oklahoma|365.25|825|2014-03-02
Oregon|211.90000000000001|1732|2014-03-02
Maryland|379.5|2150|2014-03-02
Massachusetts|351.97000000000003|3098|2014-03-02
Michigan|297.41000000000003|3245|2014-03-02
Minnesota|368.98000000000002|1847|2014-03-02
Mississippi|339.44999999999999|452|2014-03-02
Missouri|367.31999999999999|1708|2014-03-02
Pennsylvania|370.36000000000001|4215|2014-03-02
Rhode Island|332.33999999999997|571|2014-03-02
South Carolina|345.87|1267|2014-03-02
South Dakota|387.88999999999999|177|2014-03-02
Tennessee|356.31|1690|2014-03-02
Texas|341.56999999999999|6509|2014-03-02
Utah|292.86000000000001|736|2014-03-02
Vermont|376.95999999999998|293|2014-03-02
Virginia|372.85000000000002|2663|2014-03-02
Washington|234.90000000000001|2524|2014-03-02
West Virginia|362.12|404|2014-03-02
Wisconsin|356.95999999999998|1756|2014-03-02
Wyoming|352.41000000000003|97|2014-03-02
Alabama|341|1210|2014-04-02
Alaska|287.58999999999997|286|2014-04-02
Arizona|302.13999999999999|2153|2014-04-02
Arkansas|352.55000000000001|661|2014-04-02
California|246.72|13413|2014-04-02
Colorado|237.47|2512|2014-04-02
Connecticut|346.07999999999998|1439|2014-04-02
Delaware|372.35000000000002|388|2014-04-02
District of Columbia|346.58999999999997|492|2014-04-02
Florida|304.82999999999998|7464|2014-04-02
Georgia|329.25999999999999|3506|2014-04-02
Hawaii|314.67000000000002|365|2014-04-02
Idaho|275.32999999999998|349|2014-04-02
Illinois|357.33999999999997|4516|2014-04-02
Indiana|334.85000000000002|1885|2014-04-02
Iowa|370.60000000000002|770|2014-04-02
Kansas|351.22000000000003|939|2014-04-02
Kentucky|340.74000000000001|1155|2014-04-02
Louisiana|369.81999999999999|1209|2014-04-02
Maine|319.57999999999998|502|2014-04-02
Montana|268.75|629|2014-04-02
Nebraska|345.17000000000002|577|2014-04-02
Nevada|267.64999999999998|997|2014-04-02
New Hampshire|361.01999999999998|478|2014-04-02
New Jersey|352.64999999999998|2473|2014-04-02
New Mexico|291.31|629|2014-04-02
New York|350.13|6394|2014-04-02
North Carolina|353.98000000000002|3182|2014-04-02
North Dakota|401.73000000000002|164|2014-04-02
Ohio|335.91000000000003|3418|2014-04-02
Oklahoma|364.88999999999999|854|2014-04-02
Oregon|210.78999999999999|1784|2014-04-02
Maryland|376.50999999999999|2231|2014-04-02
Massachusetts|350.19999999999999|3204|2014-04-02
Michigan|295.25|3340|2014-04-02
Minnesota|367.79000000000002|1924|2014-04-02
Mississippi|343.83999999999997|474|2014-04-02
Missouri|368.30000000000001|1780|2014-04-02
Pennsylvania|369.02999999999997|4382|2014-04-02
Rhode Island|331.57999999999998|581|2014-04-02
South Carolina|345.06|1312|2014-04-02
South Dakota|388.48000000000002|178|2014-04-02
Tennessee|356.39999999999998|1761|2014-04-02
Texas|340.31|6732|2014-04-02
Utah|291.51999999999998|765|2014-04-02
Vermont|376.97000000000003|301|2014-04-02
Virginia|371.58999999999997|2755|2014-04-02
Washington|234.09|2619|2014-04-02
West Virginia|359.56|427|2014-04-02
Wisconsin|356.18000000000001|1804|2014-04-02
Wyoming|354.72000000000003|103|2014-04-02
Alabama|340.82999999999998|1257|2014-05-02
Alaska|288.69999999999999|295|2014-05-02
Arizona|301.25999999999999|2219|2014-05-02
Arkansas|352.06999999999999|684|2014-05-02
California|246.06|13803|2014-05-02
Colorado|236.66|2595|2014-05-02
Connecticut|345.08999999999997|1472|2014-05-02
Delaware|369.19999999999999|404|2014-05-02
District of Columbia|346.93000000000001|508|2014-05-02
Florida|304.29000000000002|7735|2014-05-02
Georgia|329.08999999999997|3623|2014-05-02
Hawaii|314.52999999999997|377|2014-05-02
Idaho|276.18000000000001|358|2014-05-02
Illinois|356.67000000000002|4642|2014-05-02
Indiana|334.95999999999998|1947|2014-05-02
Iowa|368.80000000000001|796|2014-05-02
Kansas|350.56999999999999|963|2014-05-02
