"Date_received","Submitted_via","count"
"10/18/2012","Web",110
"10/18/2012","Postal mail",14
"10/18/2012","Referral",130
"05/18/2014","Web",107
"07/06/2014","Referral",1
"07/06/2014","Web",110
"02/28/2016","Web",147
"12/04/2012","Fax",9
"12/04/2012","Phone",24
"12/04/2012","Referral",57
"12/04/2012","Postal mail",33
"12/04/2012","Web",140
"01/02/2013","Fax",7
"01/02/2013","Postal mail",18
"01/02/2013","Phone",29
"01/02/2013","Web",111
"01/02/2013","Referral",34
"02/20/2012","Referral",3
"02/20/2012","Web",52
"10/26/2019","Referral",1
"10/26/2019","Web",375
"12/27/2012","Email",1
"12/27/2012","Fax",4
"12/27/2012","Web",146
"12/27/2012","Phone",22
"12/27/2012","Referral",46
"12/27/2012","Postal mail",53
"07/08/2018","Referral",21
"07/08/2018","Web",327
"10/23/2019","Fax",1
"10/23/2019","Referral",82
"10/23/2019","Postal mail",31
"10/23/2019","Phone",82
"10/23/2019","Web",892
"10/29/2019","Fax",4
"10/29/2019","Postal mail",53
"10/29/2019","Referral",62
"10/29/2019","Phone",78
"10/29/2019","Web",888
"12/07/2014","Web",106
"06/18/2013","Fax",5
"06/18/2013","Postal mail",6
"06/18/2013","Phone",31
"06/18/2013","Web",230
"06/18/2013","Referral",89
"08/10/2019","Web",420
"06/30/2013","Web",58
"08/26/2013","Email",1
"08/26/2013","Postal mail",33
"08/26/2013","Phone",55
"08/26/2013","Fax",14
"08/26/2013","Referral",73
"08/26/2013","Web",220
"10/11/2013","Fax",5
"10/11/2013","Referral",69
"10/11/2013","Web",148
"10/11/2013","Postal mail",51
"10/11/2013","Phone",15
"11/29/2013","Fax",4
"11/29/2013","Phone",18
"11/29/2013","Referral",33
"11/29/2013","Postal mail",27
"11/29/2013","Web",126
"09/12/2012","Email",1
"09/12/2012","Fax",5
"09/12/2012","Phone",25
"09/12/2012","Postal mail",18
"09/12/2012","Referral",128
"09/12/2012","Web",89
"04/13/2019","Fax",5
"04/13/2019","Referral",11
"04/13/2019","Postal mail",16
"04/13/2019","Web",392
"08/06/2016","Phone",1
"08/06/2016","Web",233
"12/10/2017","Web",370
"05/26/2018","Referral",4
"05/26/2018","Web",320
"04/19/2015","Web",144
"01/03/2012","Postal mail",3
"01/03/2012","Email",1
"01/03/2012","Referral",26
"01/03/2012","Phone",14
"01/03/2012","Web",53
"08/06/2012","Postal mail",16
"08/06/2012","Phone",35
"08/06/2012","Fax",15
"08/06/2012","Referral",122
"08/06/2012","Web",107
"01/26/2013","Postal mail",21
"01/26/2013","Referral",65
"01/26/2013","Fax",6
"01/26/2013","Web",89
"09/26/2015","Phone",1
"09/26/2015","Web",172
"02/04/2013","Fax",12
"02/04/2013","Phone",28
"02/04/2013","Referral",90
"02/04/2013","Postal mail",27
"02/04/2013","Web",237
"04/18/2013","Fax",7
"04/18/2013","Postal mail",10
